Parent Acc,TEAM_TAG,BASE,MBB,WBB,WVB,FB,MXC,MGOLF,MGYM,MHKY,MITF,MLAX,MOTF,MSOC,MSD,MTEN,WREST,WXC,FH,WGOLF,WGYM,WITF,WLAX,WOTF,WROW,WTEN,WSD,SB,WSOC
OhioStAthletics,OSU,"OhioStateBASE,399575985","ohiostatehoops,281669945","ohiostatewbb,900280416","ohiostatewvb, 74189922","ohiostatefb,723239605823107072","OhioStateTFXC,461442471","OhioStateMGOLF,179233131","OhioStateMGYM,456948237","OhioStateMHKY,26773650","ohiostatetfxc, 461442471","OhioStateMLAX,177648766","ohiostatetfxc, 461442471","ohiostatemsoc,80046407","OhioStSwimDive,29980738","OhioStateMTEN, 267251926","wrestlingbucks,100033983","OhioStateTFXC,461442471","OhioStateFH,355748904","OhioStateWGOLF,177314261","OhioStateWGYM,188476559","ohiostatetfxc, 461442471","OhioStateWLAX,80300752","ohiostatetfxc,461442471","OhioStateWROW,895304894","OhioStateWTEN,199484654","OhioStSwimDive,29980738","OhioStateSB,124781457",
UMichAthletics,MICH,"umichbaseball,22798877","umichbball,22642626","umichwbball,22643259","umichvball,28100059","UMichFootball,27902825","UMichTrack,27904378","umichmgolf,1243590395851874305","UMichGym,29226754","umichhockey,21777967","UMichTrack,27904378","UMichLacrosse,20955902","UMichTrack,27904378","umichsoccer,28099831","umichswimdive,45578343","umichtennis,27905245","umichwrestling,22798542","UMichTrack,27904378","umichfldhockey,28099715","UMichWGolf,27903435","UMichWGym,21800915","UMichTrack,27904378","UMichWLAX,305817818","UMichTrack,27904378","umichrowing,27918176","UMichWTennis,1027313850859835392","umichswimdive,45578343","umichsoftball,26261465","umichwsoccer,28099949"
IlliniAthletics,ILL,"IlliniBaseball,32575726","IlliniMBB,40941404","IlliniWBB,45412765","IlliniVBall,58519799","IlliniFootball,26791995","IlliniTrackXC,2857107180","IlliniMGolf,62838472","IlliniMGym,1952533632","IlliniHockey,31374931","IlliniTrackXC,2857107180","IlliniLacrosse,102775077","IlliniTrackXC,2857107180",,"IlliniSwimDive,62876889","IlliniMTennis,48744265","IlliniWrestling,41606345","IlliniTrackXC,2857107180",,"IlliniWGolf,1855353536","illiniwgym,49783682","IlliniTrackXC,2857107180",,"IlliniTrackXC,2857107180","IlliniRowing,54126388","IlliniWTennis,2155113181","IlliniSwimDive,62876889","IlliniSB,40025755","IlliniSoccer,45961053"
MSU_Athletics,MSU,"MSUBaseball,95450798","MSU_Basketball,57422635","MSU_WBasketball,57415242","MSU_Volleyball,46684619","MSU_Football,33587536","MSU_TFXC,239178022","MSU_MGolf,331016614",,"MSU_Hockey,58803348","MSU_TFXC,239178022","MSU_Lacrosse,3320206519","MSU_TFXC,239178022",,"MSUswimdive,861520758","MSU_MTennis,474994482","MSU_Wrestling,253237680","MSU_TFXC,239178022",,"MSU_WGolf,77028548","MSU_Gymnastics,90006673","MSU_TFXC,239178022",,"MSU_TFXC,239178022","MSU_Rowing,155867360","MSU_WTennis,789437197","MSUswimdive,861520758",,"MSU_wsoccer,778532809"
TheIowaHawkeyes,IOWA,"UIBaseball,386060495","IowaHoops,55590247","IowaWBB,902089998","IowaVolleyball,47741202","HawkeyeFootball,128467197","IowaXC_TF,242933763","IowaHawkeyeGolf,21214359",,,"IowaXC_TF,242933763",,"IowaXC_TF,242933763",,,,"Hawks_Wrestling,295691719","IowaXC_TF,242933763","iowafieldhockey,296413593","IowaWomensGolf,1117210610","IowaGymnastics,743524958","IowaXC_TF,242933763","WomensLaxIowa,3787863973","IowaXC_TF,242933763","iowarowing,383901133","iowa_tennis,805374086","IowaSwimDive,48749266","iowasoftball,275089901","HawkeyeSoccer,34691263"
RUAthletics,RUTG,"RutgersBaseball,253579419","RutgersMBB,902030382","RutgersWBB,900368808","RUvball,339013852","NJ_RutgersFB,57048241","RutgersTFXC,2446026428","RUMensGolf,1069186123",,"rutgersd2hockey,2652677138","RutgersTFXC,2446026428","RUmlax,339799884","RutgersTFXC,2446026428","RUMensSoccer,39616820",,,"RUWrestling,390185215","Rutgers_WomenTF,2548544636","RUFieldHockey,105667929","RutgersWGolf,2764995375","RUGymnastics,331120565","Rutgers_WomenTF,2548544636","rutgers_wlax,85573406","Rutgers_WomenTF,2548544636","RutgersWRowing,277620639","RutgersTennis,339070573","RUSwimDive,128322945","RUSoftball,872422303","RUWSoccer,2676782845"
IUHoosiers,IND,"IndianaBase,246063599","IndianaMBB,791598918","IndianaWBB,32414973","IndianaVB,34605835","IndianaFootball,706923475",,"IndianaMGolf,223286164",,"Hockey_Indiana,1583815362","IndianaXCTF,333467236","LacrosseIU,188479071","IndianaXCTF,333467236","IndianaMSOC,29739264","IndianaSwimDive,63017007","IndianaMTennis,574680328","IndianaWR,34023686",,"IndianaFH,180388972","IndianaWGolf,63156793",,"IndianaXCTF,333467236",,"IndianaXCTF,333467236","IndianaRowing,43557484","IndianaWTennis,249194230","IndianaSwimDive,63017007","IndianaSB,75407108","IndianaWSOC,64438808"
umterps,MD,"TerpsBaseball,87673496","TerrapinHoops,364460082","TerpsWBB,873861104","TerpsVolleyball,746403284","TerpsFootball,964260852",,"TerpsMGolf,380308695",,"TerpsD3Hockey,3236539949",,"TerpsMLax,188026946",,"MarylandMSoccer,28357349","TerpSwimDive,345493067",,"TerpsWrestling,22094358",,"TerpsFH,213078161","TerpsWGolf,366111088","TerpsGymnastics,62852558",,"MarylandWLax,40153002","MarylandTrack,80084069","marylandrowing,509453120","TerpTennis,834425336","TerpSwimDive,345493067","TerpsSoftball,40049263","TerpsWSoccer,371955914"
GopherSports,MINN,"GopherBaseball,56396829","GopherMBB,191894553","GopherWBB,378174762","GopherVBall,49665751","GopherFootball,26813914","GopherCCTF,1663224744","GopherMGolf,43177129",,"GopherHockey,149976996","GopherCCTF,1663224744","MinnesotaMLax,372630921","GopherCCTF,1663224744",,"GopherSwimDive,1210522765","GopherMTennis,170025019","GopherWrestling,59114767","GopherCCTF,1663224744",,"GopherWGolf,296452769","GopherWGym,52109909","GopherCCTF,1663224744","gopherwlax,887697559","GopherCCTF,1663224744","Gopher_Rowing,133902456","GopherWTennis,170020781","GopherSwimDive,1210522765","GopherSoftball,69117905","GopherSoccer,54538176"
Huskers,NEB,"Husker_Baseball,122975164","HuskerHoops,30954864","HuskersWBB,64736595","Huskervball,36999945","HuskerFBNation,2151130166",,"HuskersGolf,1129343646","NebraskaMensGym,93689087","huskerhockey,41488694","NUTrackandField,107215013","NebraskaLax,114064627","NUTrackandField,107215013",,,"huskermtennis,785635207","HuskerWrestling,88711293",,,"huskerwgolf,2357303304","HuskersWGym,227361401","NUTrackandField,107215013",,"NUTrackandField,107215013","Nebraska_Rowing,560670188","HuskersWTennis,1861330886","HuskerSwimNDive,2885783453","HuskerSoftball,397376255","NebraskaSoccer,38183841"
NU_sports,NW,"NUCatsBaseball,1295467256","NUMensBball,413422891","nuwbball,41688179","NUVball,179635621","NUFBFamily,188781567","nuxc_wildcats,556166026","NUGolf_Live,247592446",,"NUMENSICEHOCKEY,176888750","nuxc_wildcats,556166026",,"nuxc_wildcats,556166026","NUMensSoccer,239965138",,"NUMensTennis,69649063","NUWrestle,57728637","nuxc_wildcats,556166026","NUFHCats,124597783","NUGolf_Live,247592446",,"nuxc_wildcats,556166026","NULax,48090813","nuxc_wildcats,556166026","NUcrew,183402583","NUWildcatTennis,123965329","NUSwimDive,850316214","NUSBcats,113083865","NUWSoccer,174424475"
GoPSUsports,PSU,"PennStateBASE,21363170","PennStateMBB,87275465","PennStateWBB,69379688","PennStateVBALL,38030330","PennStateFball,53103297","PennStateTFXC,21801562","PennStateMGolf,628491639","PennStateMGYM,625772169","PennStateMHKY,251196485","PennStateTFXC,21801562","PennStateMLAX,360179976","PennStateTFXC,21801562","PennStateMSOC,491831136","PennStateSWIM,625125930","pennstateMTEN,625571684","pennstateWREST,625629732","PennStateTFXC,21801562","PennStateFH,57413413","PennStateWGolf,628488948","PennStateWGYM,38778731","PennStateTFXC,21801562","PennStateWLAX,491835043","PennStateTFXC,21801562","PennStateCrew,534467412","pennstateWTEN,625580414","PennStateSWIM,625125930","PennStateSB,78632208","PennStateWSOC,26258241"
Purduesports,PUR,"PurdueBaseball,236896254","BoilerBall,454122399","PurdueWBB,38053254","PurdueVB,41114541","BoilerFootball,44468807","PurdueTrackXC,239916421","PurdueMensGolf,1712798653","PurdueGymnasts,1280939431","purduehockey,398481536","PurdueTrackXC,239916421","PurdueMensLax,139297417","PurdueTrackXC,239916421","Purdue_Soccer,1688719471","PurdueMSwimDive,389841447","PurdueMTennis,726417642","PurdueWrestling,64441085","PurdueTrackXC,239916421",,"PurdueWGolf,726426655","PurdueGymnasts,1280939431","PurdueTrackXC,239916421","PurdueWomensLax,377091801","PurdueTrackXC,239916421","PurdueCrew,213017388","PurdueWTennis,726433988","PurdueWSwim,360041531","PurdueSoftball,52459464","PurdueSoccer,140113965"
UWBadgers,WIS,"badgerbasebalI,1142181519542427649","BadgerMBB,22815383","BadgerWBB,45891626","BadgerVB,31512987","BadgerFootball,21790466","BadgerTrackXC,44938639","BadgerMGolf,334707761","WiscoGymnastics,2442950874","BadgerMHockey,21319189","BadgerTrackXC,44938639","TeamSconnieLax,418404351","BadgerTrackXC,44938639","BadgerMSoccer,41425794","badgerswimdive,331874962","BadgerMTennis,873762367","BadgerWrestling,65095263","BadgerTrackXC,44938639",,"BadgerWGolf,787732087","WiscoGymnastics,2442950874","BadgerTrackXC,44938639","TeamSconnieLax,418404351","BadgerTrackXC,44938639","BadgerRowing,26576092","BadgerWTennis,1148425692","badgerswimdive,331874962","BadgerSoftball,252273678","BadgerWSoccer,44937728"